"Task_External_ID__c","Project__c","Deadline__c","Effort__c","Extended_task_description__c","Location_of_the_task__c","Task_expertise__c","Task_status__c","Title__c","Task_created_date__c","Tags__c"
"501","1398","2013-10-27","4","Volunteers and Friends of NIRP Uganda are groups of people who can get out and about, promoting our work and organising local activities in support of NIRP Uganda.

We are actively seeking new Volunteers and Friends of  NIRP Uganda to build a good network across the Netherlands.

As a Friend of NIRP, you will have full access to our information and work that can help you to blow the whistle for us.

Everyone needs more friends and we would love to expand our network of groups. 

You could:

-  start a group
-  get in touch with an existing friends to have an insight about work. 
 - organise your own event to mobilise support for our work.
- Organise special day events e.g birthdays, jubilee, tea parties and special dinners.","online 1% Club","Marketing / PR","open","online volunteers","2013-06-16","advocates, volunteers, "
"500","1536","2013-10-27","4","Heel graag wil ik een professionele brief die ik naar serviceclubs en andere instanties kan sturen voor het aanvragen van subsidie voor onze projecten in Sri Lanka. Graag sturen wij een goede brief met een duidelijk en overtuigend verhaal.

Even in het kort waar onze stichting voor staat:
Havonos betekent: ""Hart Voor Noord Oost Sri Lanka""
Directe aanleiding voor de oprichting van Havonos was de allesverwoestende tsunami, die op Tweede Kerstdag 2004 ook op Sri Lanka heeft huisgehouden. Omdat het Noorden en Oosten van Sri Lanka voornamelijk een tamilbevolking heeft, en de regering in oorlog was met de L.T.T.E), konden de burgers, van onder anderen Nilaveli en omstreken, niet op steun van de regering rekenen. Daarom hebben wij ons, ook met hulp dus van u voor hen ingezet. Ons motto is: 'Ieder mens heeft recht op hulp'

Doel van Havonos is het verbeteren van de levensstandaard en het waarborgen van de zelfredzaamheid van de plaatselijke bevolking, zodat een situatie ontstaat waarin ontwikkeling mogelijk is.

Er zijn sinds 2005 tal van projecten op gebied van scholing, wederopbouw, landbouw, etc. gerealiseerd. Veelal ook in samenwerking met diverse nationale en internationale hulporganisaties, o.a. de Stichting Wilde Ganzen, 1%CLUB, NCDO en stichting ZOA. Wij doen dat door projecten, die passen binnen onze doelstelling financieel te ondersteunen. Hierover gaat deze brief.","Vanuit huis","Writing proposals","open","Brief schrijven voor subsidiemogelijkheden","2013-05-23","fondsenwerving, advies, serviceclubs in nl, sri lanka, subsidies, brief schrijven, "
"499","1536","2013-10-27","4","Heel graag wil ik een professionele brief die ik naar serviceclubs en andere instanties kan sturen voor het aanvragen van subsidie voor onze projecten in Sri Lanka. Graag sturen wij een goede brief met een duidelijk en overtuigend verhaal.

Even in het kort waar onze stichting voor staat:
Havonos betekent: ""Hart Voor Noord Oost Sri Lanka""
Directe aanleiding voor de oprichting van Havonos was de allesverwoestende tsunami, die op Tweede Kerstdag 2004 ook op Sri Lanka heeft huisgehouden. Omdat het Noorden en Oosten van Sri Lanka voornamelijk een tamilbevolking heeft, en de regering in oorlog was met de L.T.T.E), konden de burgers, van onder anderen Nilaveli en omstreken, niet op steun van de regering rekenen. Daarom hebben wij ons, ook met hulp dus van u voor hen ingezet. Ons motto is: 'Ieder mens heeft recht op hulp'

Doel van Havonos is het verbeteren van de levensstandaard en het waarborgen van de zelfredzaamheid van de plaatselijke bevolking, zodat een situatie ontstaat waarin ontwikkeling mogelijk is.

Er zijn sinds 2005 tal van projecten op gebied van scholing, wederopbouw, landbouw, etc. gerealiseerd. Veelal ook in samenwerking met diverse nationale en internationale hulporganisaties, o.a. de Stichting Wilde Ganzen, 1%CLUB, NCDO en stichting ZOA. Wij doen dat door projecten, die passen binnen onze doelstelling financieel te ondersteunen. Hierover gaat deze brief.","Vanuit huis","Translating / Writing","closed","Brief schrijven voor subsidiemogelijkheden","2013-05-23","fondsenwerving, advies, serviceclubs in nl, sri lanka, subsidies, brief schrijven, "
"498","1536","2013-06-02","4","Heel graag wil ik een professionele brief die ik naar scholen in Raalte kan sturen. We zijn namelijk op zoek naar manieren om op een leuke, interessante, betrokken, actieve wijze aan geld te komen voor onze projecten in Sri Lanka.

Er is reeds een bestaande brief, maar die is erg lang. Graag sturen wij een goede brief met een duidelijk verhaal.

Even in het kort waar onze stichting voor staat:
Havonos betekent: ""Hart Voor Noord Oost Sri Lanka""
Directe aanleiding voor de oprichting van Havonos was de allesverwoestende tsunami, die op Tweede Kerstdag 2004 ook op Sri Lanka heeft huisgehouden. Omdat het Noorden en Oosten van Sri Lanka voornamelijk een tamilbevolking heeft, en de regering in oorlog was met de L.T.T.E), konden de burgers, van onder anderen Nilaveli en omstreken, niet op steun van de regering rekenen. Daarom hebben wij ons, ook met hulp dus van u voor hen ingezet. Ons motto is: 'Ieder mens heeft recht op hulp'

Doel van Havonos is het verbeteren van de levensstandaard en het waarborgen van de zelfredzaamheid van de plaatselijke bevolking, zodat een situatie ontstaat waarin ontwikkeling mogelijk is.

Er zijn sinds 2005 tal van projecten op gebied van scholing, wederopbouw, landbouw, etc. gerealiseerd. Veelal ook in samenwerking met diverse nationale en internationale hulporganisaties, o.a. de Stichting Wilde Ganzen, 1%CLUB, NCDO en stichting ZOA. Wij doen dat door projecten, die passen binnen onze doelstelling financieel te ondersteunen. Hierover gaat deze brief.","Vanuit huis","Writing proposals","realized","Brief (her)schrijven voor fondsenwerving scholen","2013-05-23","advies, scholen in nl, sri lanka, brief (her)schrijven, fondsenwerving, "
"497","1428","2013-10-27","4","We looking for Dutch blogger to write articles in dutch about the WIFE project

The blogger should be able write at least one article every week. These article will be posted in the WIFE Tumblr, facebook and twitter and the 1% club project page.","Online","Translating / Writing","open","Dutch blogger","2013-05-20","visiblity, media, adverts, journalist, blogger, "
"496","1398","2013-10-27","4","The adviser will advise the project manager on innovative and creative methods that can motivate the 1% Club community to be more engaged with our project work & page. He/ she will share with project manager on how best the project can be implemented and presented on 1% Club website

- The adviser will help the project manager to think ways  more people can become engaged in our work. 
- The adviser will help and support the project manager on innovative and creative ways to optimize the 1% Club tools to mobilize resources.
- The adviser will engage other 1% Club volunteers or 1% Skill volunteers supporting crowd-funding process.
- The adviser will spare a few minutes a week to translate some of our weblog to Dutch. 
- The adviser will strategically plan with the project manager special events to fund-raise online.","online","Online Marketing","open","Social media expert and translator","2013-04-25","social media expert, dutch translator, blogger, "
"495","467","2013-10-27","4","We recieved updates from the wife project local team that onions and tomatoes vegetables are affected by fungus, bacteria or virus, that is making these vegetable to get rotten before harvesting. Hower, the other vegetable such as lettuce, hibiscus are not affected. 
To advice the women farmers on the action to take, we urgently need technical advisor who is familiar with horticulure and disease that normally affect tomatoes and onions

The advisor will help us identify the characteristic of common diseases of onions and tomatoes and simple techniques ( preferably by using locally available materials) we can use to eliminate this problem. Any advice will be appreciated.","Online or presential","Agriculture / Environment","open","Technical advisor, horticulture","2013-04-24","horticulture, onion, fungus, disease, "
"494","1428","2013-10-27","4","We recieved updates from the wife project local team that onions and tomatoes vegetables are affected by fungus, bacteria or virus, that is making these vegetable to get rotten before harvesting. Hower, the other vegetable such as lettuce, hibiscus are not affected. 
To advice the women farmers on the action to take, we urgently need technical advisor who is familiar with horticulure and disease that normally affect tomatoes and onions

Advisor will help us identify the characteristic of common diseases of onions and tomatoes and simple techniques ( preferably by using locally available materials) we can use to eliminate this problem. Any advice will be appreciated..","Online or Presential","Agriculture / Environment","closed","Technical advisor, horticulture","2013-04-24","advisor, fungus, vegetables, gambia, "
"493","1428","2013-10-27","4","We received updates from the WIFE project local team that the onions and tomatoes vegetables are affected by a fungus, bacteria or virus, that is making these vegetables to get rotten before harvesting. However, the other vegetable such as lettuce, hibiscus are not affected. 
To advice the women farmers on the action to take, we urgently need a technical advisor who is familiar with horticulture and diseases that normally affect tomatoes and onions.

An advisor that will help us to identify the characteristics of common diseases of onions and tomatoes and simple techniques (preferably by using locally available materials) we can use to eliminate this problem. Any advice will be appreciated..","Online or Presential","Agriculture / Environment","open","Technical advisor in horticulture","2013-04-24","advisor, gambia, vegetables, fungus, "
"492","1567","2013-10-27","4","Help is requested to create a PR Plan that would promote the  Diaceses of Jinja Organisation, which operates three Health Centres under its umbrella

As the founding organisation that manages the Nawanyago, St. Benedict's and Buluba Health Centres, we need support in promoting our healthcare services in the Kamuli District of Uganda. Our organisation is also asking the support of the 1%CLUB to create a website, which can also be part of the PR promotional plan.","Uganda","Marketing / PR","open","PR Plan to Promote Diaceses of Jinja Organisation","2013-04-22","healthcare healthcentres clinic uganda, "
"491","1562","2013-10-27","4","Help is needed for the design and development of a website for our organisation Diaceses of Jinja. The purpose of the website is to promote, inform  and educate the public of the healthcare services our Health Centres provide in the Jinja district in Uganda

Jinja Catholic Diocese was established on 8th August, 1966 by Pope Paul VI. Bishop Joseph Willigers was ordained as the first Bishop of Jinja on 3rd December, 1967. Its Cathedral located at St. Joseph’s church on Rubaga Hill at the same time it is the seat of the Bishop. Jinja Diocese is one of 19 Cathedral dioceses in Uganda. It was formerly part of Kampala diocese. It covers the region of Busoga. There are four deaneries, Jinja, Iganga, Kamuli and Budini. Each deanery has four or five parishes. Since the establishment of the diocese, new parishes have been created to make the total number of parishes now 21 in the whole diocese.","Uganda","Webdevelopment","open","Design and Develop a Website for Diaceses of Jinja","2013-04-22","healthcare, accessability, health education, clinic, "
"490","1380","2013-10-27","4","This task has to do with Marketing the project Hope From The Farm online and ensuring that it attains the required amount for its full implementation.

This task has to do with Marketing the project Hope From The Farm online and ensuring that it attains the required amount for its full implementation. 
Volunteer will have to use all possible online tools, contact both 1% club members and non members, work on other social media platforms, develop send out customized appeal letter for people and companies to support our project, ""Hope From The Farm"" here on the 1% Club site. We need some one with persuasive language who knows how to market such a cause with maximum results. Please do not hesitate to contact us if you have any questions.","Online. Any one any where can apply and effectively be of help","Marketing / PR","open","Hope From The Farm Online Marketer","2013-04-22","fund raising, poverty alleviation, agriculture, "
"489","1428","2013-10-27","4","We looking for social media manager to help improve the visiblity of the WIFE project in major social media such as facebook and twitter

The aim is to reach out to people who cares and want to contribute at least 1% of their efforts toward the WIFE project. We are looking for someone, conversant with social media, or at least a regular user of social media and can be committed at least 1 hour every week to help spread the information about the WIFE project.","Online","Social Media","in progress","Social media manager","2013-04-21","community, twitter, facebook, social media, "
"488","1543","2013-10-27","4","We hebben een aanvraag voor onze 1e periodieke donateur. Die wil dit graag notarieel vast laten leggen ivm het belastingvoordeel. Ben/ken je een notaris die dit voor ons zou willen verzorgen?

Het gaat om een donateur die 5 jaar lang € 25 wil schenken. Via een notaris (of bijvoorbeeld schenkservice) kost de notariele vastlegging minimaal € 150,- 
Dat betekent dat de eerste 6 maanden!!!! van de schenking niet naar Bangladesh gaat. Dat is toch zonde? Daarom zijn we op zoek naar een notaris die dit voor Pani wilt doen.","landelijk, maar wij zitten zelf in Arnhem.","Administration / Finance","closed","Notaris gezocht voor 1 akte periodiek notarieel schenken","2013-04-19","juridisch, notaris, schenkingen, "
"487","653","2013-10-27","4","We are looking for possible contacts to any agribusiness or individual interested in buying fresh foods from Cameroon.

Recently, AGRO-HUB launched its innovative fresh food supermarket called AGRO-MART within the Muea rural community. This is an effort towards upgrading the local traditional market in a bid to promote food safety and boost rural farmers' household income. 
Motivated by the advantages these market facility brings to the farmers, we have a lot of farmers interested in supplying food to AGRO-MART but the challenge for us is finding a bigger market outlet - other than the local consumer population - since these foods have very short shelf life. 
That's where you come in.  The task is, we need your help in establishing contacts with agribusinesses or individuals in Cameroon or beyond who are interested in buying fresh foods from Cameroon. These foods range from Fruits (Pineapple, Pear, Papaya, Mango, etc) to Tubers (Yams, Cocoyams, etc)
You will be helping AGRO-MART/AGRO-HUB approach profitability and promote our agricultural market upgrade efforts.","Telecommute","Marketing / PR","open","Contacts to food buyers","2013-04-17","pr, cameroon, marketing, trade, agriculture, food, "
"486","1380","2013-10-27","4","This task has to do with using the written material on our adopt a tree program to design the information and request pack.

This task has to do with using the written material on our adopt a tree program to design the information and request pack. Volunteer here has to use the informative, convincing and persuasive write-up material given to him/her to produce a ready, designed and published package. This package should be appealing and compelling to encourage funders, companies and other potential partners develop the interest in finding out more about the content of the package.","Online. Any one can do it from any where","Design","in progress","Adopt a Tree Info Pack Designer","2013-04-03","publishing, desk top design, "
"485","1380","2013-04-12","4","A plan to attract companies and organizations to become our partner and a presentation we can show them in order to be more appealing.

We have been existing since 2003, but find ourselves in a uncomfortable financial situation. We do receive some other funding, but not regularly.  We would like to create sustainable partnerships with companies or organizations. 

How can we present Green Cameroon in such a way that it becomes interesting enough for companies to become our partner?","Not of importance","Marketing / PR","realized","Business Proposition","2013-04-02","marketing, partners, proposal, "
"484","1380","2013-10-27","4","We are looking for somebody that can wrap-up all information we have about the Adopt A Tree programm and produce an information and request package that we can send to individual, schools and institutions to persuade them to join our adopt a tree program.

The task has to do with using the standard already set for our adopt a tree program to develop an information and request package intended to be sent to prospective partners, sponsors and donors. I have a sketch of an Adopt a tree program with some beautifully made posters and other documents. For now we envisage that it will be sent to schools, companies and individuals and the intention will be to convince them to get involved in our program by adopting trees in our communities to fight deforestation and other ills that come along with climate change. To accomplish this task, volunteer will have to write up the content of the package.  The package has to be informative, persuasive and convincing to who ever it is sent to so we are looking for somebody with strong communication/copywriting skills.

The next step will be that somebody will design it.","The task can be done by any one online so there is not fixed location","Writing proposals","in progress","Adopt a Tree Info Pack","2013-04-02","deforestantion, climate change, adopt a tree, "
"483","1435","2013-10-27","4","Het samen met de lokale agrarisch deskundige opzetten en het coordineren van de uitvoering van de Ecologische boerderij. Dit kan ook een goede opdracht zijn voor een stage, studieproject. Je moet wel zelfstandig kunnen werken.

email ons voor de uitgbreide functieomschrijving.

stichtingletscare@gmail.com","Filippijnen","Agriculture / Environment","open","Agrarisch deskundige (of student) tropische landbouw","2013-03-26","boerderij, landbouw, duurzaam, ecologisch, opzetten, "
"482","1435","2013-10-27","4","Wie wil voor ons project zich inzetten om hiervoor donateurs te vinden.

Wie wil in zijn/ haar netwerk, organisatie, bedrijf zich sterk maken om mensen voor ons project geinteresseerd te krijgen.","Thuis","Online Marketing","open","Crowdfunder voor ons project","2013-03-26","crowdfunding, fondsenwerving, "
"481","1435","2013-04-05","4","Brainsteormsessie over hoe de projecten van Stichting Let's Care financieel zelfstandig kunnen opereren, zonder afhankelijkheid van externe giften en donaties.

het genereren van ideen, tips en links hoe we dit kunnen bereiken. Dit in Co-creatie met de 1% club.","AMSTERDAM","Economy / Business","realized","Brainstorm sessie financiele zelfstandigheid","2013-03-26","co-creatie 1% club, financiele zelfstandigheid, brainstorm, "
"480","1435","2013-10-27","4","Brainsteormsessie over hoe de projecten van Stichting Let's Care financieel zelfstandig kunnen opereren, zonder afhankelijkheid van externe giften en donaties.

het genereren van ideen, tips en links hoe we dit kunnen bereiken. Dit in Co-creatie met de 1% club.","AMSTERDAM","Economy / Business","closed","Brainstorm sessie financiele zelfstandigheid","2013-03-26","co-creatie 1% club, financiele zelfstandigheid, brainstorm, "
"479","1398","2013-10-27","4","NIRP Uganda changes lives every day but there’s still more work to do. By advocating for us you can do your bit to help a vulnerable child out of poverty.

Do your own thing: If you have a talent, why not use it to help some of Uganda’s poorest and most vulnerable children in their struggle to secure better livelihoods sustainably. We’ll provide all the inspiration and information you need to do your own advocacy and fundraising activity.

Raise money at school: Inspire classmates and fellow scholars to make a difference in the life of an orphan for improved livelihoods and better future.



Faith Group Fundraising: Advocate for our work in your faith group. Bring together members of your faith group to fundraise around festivals like Harvest, Diwali, Christmas,Birthdays, Easter.

Cake bakes, coffee mornings, jumble sales, harvest suppers or exbition stalls are all classic and successful fundraisers. Loads of congregations and churches are already joining up and walking the charity talk. You can also do something today.

Fancy Challenge; Choose your own adventure. Call friends for an evening get together. Host a birthday party and inspire friends to turn the gifts into cash donations. Organise a special event like a marathon, auction. Every donation gives a hopeless and vulnerable child a bright future by giving a sustainable gift of a goat.","online, Amsterdam, The Netherlands, 1% club.","1%EVENT","in progress","Advocate for our work","2013-03-19","social media, marketing, fundraise, "
"478","1371","2013-10-27","4","Eind dit jaar start de Ambachtsschool. Er is plek voor 30 werknemers en 80 kinderen. Maar hoe bepalen we wie wel en vooral wie niet toegelaten wordt? We hebben namelijk lang niet genoeg plek voor iedereen.

Een lastig dilemma bij ontwikkelingshulp, is wie gebruik mag maken van jouw project. Hoe graag we het ook willen, we hebben niet de middelen om iedereen meteen te helpen. Voor onze Ambachtsschool hebben we bij de start ruimte voor 30 werknemers en 80 kinderen. Hoe bepalen we wie toegelaten mag worden? 
We hebben een aantal uitgangspunten benoemd: 50% analfabeet, geografische woonplaats, huidig inkomen, geen geld om kinderen naar school te laten etc. 
Maar hoe 'controleer' je of iemand aan dat profiel voldoet? 

We zijn daarom op zoek naar iemand die ervaring heeft met het opstarten van een school of een werkplaats en daarbij een aannamebeleid heeft gemaakt. Hoe is het jou vergaan? Waar liep je tegenaan? Wat kunnen we leren van jou ervaring? 
Of is er literatuur over dit onderwerp bekend?","Nederland","Project Management","closed","Hoe bepaal je aannamebeleid?","2013-03-18","aannamebeleid, school, personeel, "
