"Project_Budget_External_ID__c","Project__c","Costs__c","Description__c"
"73","73","2940.00","Het geld wordt gebruikt om tenminste 100 meisjes op totaal 4 scholen een jaar lang gezondheidsonderwijs te geven - het geld is nodig om twee trainers en lesmateriaal te betalen"
"77","77","3000.00","Financiering voor het plaatselijk uitvoeren van veldonderzoek, wat uiteindelijk zal leiden tot een passend drinkwaterproduct voor de allerarmsten."
"78","78","4800.00","Twaalf boerinnen 'leasen' een koe en met het terugbetaalde geld 'leasen' de volgende twaalf boerinnen een koe."
"84","84","3000.00","Opleiden van kleermakers, het begeleiden van management en marketing, zodat het bedrijf door Gambianen zelf voortgezet kan worden."
"91","91","1973.51","Met het budget zal onze partner lokaal fietsambulances kunnen laten maken en uitgeven bij verschillende health centers."
"12802","652","2000.00","Ontwerp en drukken krant"
"12803","652","1500.00","Salaris docente activiteiten project"
"12804","652","350.00","Hapje, drankje, premies kinderen tijdens activiteiten"
"30041","889","250.00","Kumnandi Marketing Support
Flyers (5000x)"
"30042","889","50.00","Kumnandi Marketing Support
Banner (1x)"
"30043","889","200.00","Kumnandi Marketing Support
Labels for jams and dried fruits (1000x)"
"30044","889","125.00","Training
1 day workshop for field staff"
"30045","889","375.00","Training
3 x 1 day workshop in the community"
"17396","303","2500.00","Aanschaf busje voor het vervoer van de deelnemers uit de verschillende townships naar het WCRC"
"15009","695","1050.00","Inkoop Zonnepaneel 1 school ( 1 × € 1.050)"
"101","101","3780.00","Een 'off the road' motorfiets"
"7052","224","3246.00","Begeleiding van de jongeren door Braziliaanse begeleiders gedurende proces: 
3 begeleiders wekelijks 4 uur:
12 uur x 28 weken = 336 uur
Gemiddeld uurloon R$ 25,-	
Totaal: R$ 8400,- = € 3.246.25"
"110","110","0.00","Bijbels"
"111","111","5734.00","BUDAP creert een werkplaats waar groepen mensen met een handicap hun eigen business kunnen opzetten (voor dit project is dat trommels maken)"
"114","114","5000.00","Voor het opzetten van boomkwekerijen en het kweken van fruitbomen en palmen. Voor iedere 10 cent wordt minimaal 1 fruitboom gekweekt!"
"7053","224","1024.00","Afdrukkosten foto's voor kinderen en exposities R$ 2650 = € 1024.12"
"120","120","4346.00","Met uw hulp wordt aan kansarme jongeren een toekomstperspectief geboden; ze worden getraind en begeleid naar werk."
"123","123","1200.00","Het geld is nodig voor betere voeding voor onze 40 kinderen in het tehuis, momenteel eten we rijst, rijst en waterrijst met af en toe een groentje..."
"129","129","1000.00","Het geld is nodig voor het aanbrengen van een waterdichte toplaag op de daken van de klaslokalen."
"2025","168","4996.00","De aanschaf van 23 naaimachines, naaibenodigdheden, stoffen en accessoires."
"133","133","500.00","Het geld is nodig voor voorlichtingsmateriaal en apparatuur om voorlichting te ondersteunen"
"136","136","190.00","Het geld is nodig om een watervoorziening en sanitaire voorzieningen te treffen zoals o.a. het aanleggen van een watertoevoer voor keuken/restaurant en toiletten met wastafel voor zowel voor jongens als meisjes.."
"774","102","4995.00","Er is geld nodig voor het recruteren, trainen en inwerken van 5 nieuwe wildwachters."
"140","140","500.00","Startkapitaal voor de aanschaf van 15 fietsen en de bijkomende training in: basisonderhoud, sparen / investeren en optimalisering gebruik van de fiets."
"142","142","2000.00","Het geld is bedoeld om nieuwe campagnematerialen te bedenken en maken."
"143","143","4900.00","Landbouw ondersteuning door aanschaf van ploegen ossen en karren voor de landbouw"
"43955","1528","1820.00","72 solar lighting kit x 25 euros per kit"
"7054","224","289.00","Posters, aankondigingen expo, persberichten, telefoonkosten	R$ 750,- = € 289.84"
"7055","224","333.00","Materiaalkosten: 
Papier, tekenmateriaal, polaroidfoto’s, printkosten       R$ 850,- = €333,33"
"7909","552","800.00","500 x 1,60eu"
"144","144","750.00","Aankoop van zoveel mogelijk bibliotheekboeken voor kinderen in de lagere school leeftijd."
"10964","513","1350.00","Travel and contact restaurants Bogota + Fishermen of the region"
"151","151","561.00","Het geld is nodig voor de aanschaf van een stuk land, een ger ( Mongoolse tent) en de inrichting daarvan."
"153","153","4685.00","Inrichting van het Centrum voor Vrouwen en lesmateriaal plus oliepers en wateropvang d.m.v. de bouw van een reservoir en het aanleggen van pijpleidingen."
"155","155","7000.00","Vervoer van kinderen naar naschoolse opvang in Curaçao"
"156","156","4911.00","Met de komst van stevige stenen huizen wordt de leefsituatie van de mensen enorm verbeterd. Verder geven de nieuwe huizen ook een impuls aan de wijk. De mensen zien meer waarde van een eigen plek en onderhouden het ook beter. Het geeft de mensen ook meer "
"158","158","3172.00","Het geld is nodig voor de inrichting van  de ateliers; voor de aanschaf machines, meubels en ander materiaal."
"159","159","5000.00","voor de produktiekosten van een voorlichtingscampagne, waarbij Ghana (eindelijk) in het schap komt van bibliotheek en boekhandel."
"40538","1305","4200.00","1 tollfree number Vodafone voor radio maendeleo (die als 'hub' fungeert voor de andere stations)"
"1515","235","1285.00","1) 6 Cruiser fietsen voor verhuur aan toeristen
2) Aanschaf van een 25 delig naslagwerk; The Flora of the Guianas, uitgegeven door het Nationaal Herbarium van Nederland."
"162","162","4962.50","Voor de aanschaf van ziekenhuisbedden, een koelkast voor medicijnen, basis apparatuur en de overige inrichting van het ziekenhuis."
"166","166","3500.00","Bouwen van de 15 waterputten."
"169","169","5000.00","Leermiddelen voor de kinderen van de allerarmsten in Tacloban City."
"170","170","4950.00","Wilden we aanvankelijk spullen voor de kinderen kopen, uiteindelijk konden we een permanente behuizing voor de eerste groep kinderen betalen, GEWELDIG RESULTAAT"
"32838","667","1300.00","Aanschaf 4 pompen"
"171","171","2700.00","Met elke donatie van 45 euro wordt bijgedragen aan 'een geit voor een meid', voorlichting en onderwijs aan de meiden en hun families."
"172","172","1000.00","Het financieren van de brillen. Per bril rond 5 euro."
"174","174","647.00","Het geld is vooral nodig voor de materialen om het dak te repareren, een klein deel is als loon voor de plaatselijke arbeiders."
"177","177","500.00","Het geld is nodig voor de aanschaf van een koe."
"180","180","3098.00","A.G.H. Trasciende wil een dj-set (draaitafel e.d.) aanschaffen, muziek is een essentieel onderdeel tijdens het breakdancen en in de toekomst willen ze tevens dj workshops gaan geven."
"184","184","3033.00","Voor de aanschaf van 2,5 km waterleiding, een watertap en de bouw van twee wc's."
"185","185","336.00","Geld voor broekjes, shirtjes en ballen voor het wijkteam Mahotas (jongens 9/10 jaar)"
"188","188","3040.00","Geld is nodig voor het operationeel maken van het (naai)atelier Mérébara (wc, electriciteit, ophoging grond, hekwerk + enkele incidentele uitgaven)"
"468","167","4794.00","Leslokaal voor educatie vrouwen en jong volwassenen"
"10965","513","550.00","Training and education of Fishermen on environmental friendly, sustainable fishing"
"205","205","4500.00","opknappen van slaap en eetzalen voor kinderen"
"206","206","1269.14","De constructie van een schoolgebouwtje"
"207","207","600.00","Voor de koop van pillen om het kanker gezwel tegen te houden"
"208","208","1240.00","Het geld is nodig om zes ossen te kopen en om in de kosten van de medische zorg van de dieren te voorzien."
"10966","513","600.00","Creating cooperative"
"215","215","3650.00","Elke vrouw ontvangt een lening van 70 euro, die ze gebruikt voor de volgende zaken: het geschikt maken van de landbouwgrond, aanschaf van stekken, mest en pesticiden, en voor kosten gerelateerd aan het planten, irrigatie, en oogsten."
"446","60","2095.00","De bouw van een clubhuis"
"221","221","1591.00","Schoolmeubilair wordt gebruikt om 3 klaslokalen in te richten met tafels en stoelen, zodat er meer kansarme jongeren les kunnen krijgen"
"228","228","1054.00","Het geld is nodig om een keuken aan te schaffen in ons straatkinderenhuis in Ozurgeti in het westen van Georgie."
"233","233","3000.00","Op zoek naar een sponsor voor inrichting computerlokaal"
"2026","238","1000.00","Aankoop kunstwerk, ontwikkeling en productie van onderzetters, distributie van het kunst kado product in de lokale markt en via internet."
"2063","63","150.00","maken van cabinets en planken voor in de opslagkamers. Bijdragen van 1procentsleden zijn vooruitlopend op overmaking naar rekening Ghana Support door mij voorgeschoten.Nog nodig is ca 150 euro. Dan is de keuken klaar!!!!!!!!!!!"
"15010","695","2400.00","Aankoop 40 solar lampen (€ 60)"
"242","242","2055.00","Het geld is nodig voor bouwmaterialen als stenen, cement en dakplaten, en voor de inrichting als boekenkasten en tafels, evenals voor het inhuren van bouwvakkers. (Bouwgrond en ongeschoolde arbeid zoals graven en dragen wordt door de gemeenschap gratis ge"
"243","243","4250.00","Voor waterputten, training over gezondheid en sanitatie en irrigatiesystemen."
"16707","17","2561.00","Met de donaties enerzijds en het werk en de inzet van de lokale bevolking anderzijds zijn wij in staat samen met de lokale gemeenschap in Chapimayo (Peru) 5 tuinkassen te realiseren waarin meer en gevarieerd voedsel kan worden geteeld."
"16737","818","210.00","Begeleiding door de programmaleider incl reiskosten"
"16738","818","160.00","Begeleiding door de Initiatiefbegeleidster, elke maand incl reiskosten"
"14034","51","386.00","Cement"
"252","252","3600.00","Het geld is nodig om de trainers te bekostigen, voor het trainingsmateriaal zoals naaigaren en naaimachines, onderhoud en reparatie aan de naaimachines en lesmateriaal zoals schriften."
"261","259","800.00","stenen"
"43020","1475","1500.00","Landbouwtrainingen door lokale organisatie"
"36746","1014","593.00","Wiring partitioning and Finishing x 1 @ 593"
"43021","1475","500.00","Transport van Livingstone naar Mandia en Katombora"
"36747","1014","741.00","Computers x 5 @ 148,40"
"32839","667","2800.00","Aanschaf materiaal voor 140 filters"
"32840","667","300.00","Training 6 hygiene voorlichters"
"6211","438","1600.00","Waterputten - PVC / 8*200"
"6212","438","320.00","Waterputten - Paltform / 8*40"
"32841","667","300.00","Training 6 onderhoudsmensen"
"36748","1014","185.00","Chairs x 25 @ 7,40"
"6213","438","160.00","Waterputten - pomp / 8*20"
"6214","438","80.00","Waterputten - filter / 8*10"
"6215","438","160.00","Waterputten - overige materialen / 8*20"
"324","150","5.00","nvt"
"325","150","10.00",""
"326","150","15.00",""
"327","150","999.00",""
"1524","2","1500.00","- Studiematerialen: schoolboeken, uniform, schrijfspullen

- Transport naar opleiding

- Workshops: huur lokaal, materialen om te gebruiken tijdens workshops (papier, pennen, etc)"
"1030","216","1903.00","Het geld zal worden uitbesteed aan vijf computers voor het computerlab en educatieve software."
"6240","161","3095.00","Zakken cement (500 stuks a € 6,19 per stuk)"
"6241","161","750.00","Zand (35 trips a € 21,43 per trip)"
"6242","161","10609.00","Overige materialen"
"24114","1013","100.00","lampen, stopcontacten"
"24115","1013","400.00","transformator, 1 stuk"
"24116","1013","100.00","elektriciteitsdraden, 100 meter"
"24117","1013","500.00","accu, 1 stuk"
"24118","1013","3900.00","zonnepanelen, 3 stuks a 1.300 euro per stuk"
"36749","1014","185.00","Tables x 5 @ 37,03"
"36750","1014","370.00","Fridge x 1 @ 370"
"36751","1014","74.00","Beddings x 10 @ 7,40"
"6243","161","4186.00","Loonkosten bouw"
"6244","161","558.00","Overhead, bijvoorbeeld transport of andere onvoorziene kosten."
"6245","161","10000.00","Inrichting en materiaal"
"36752","1014","556.00","Double Decker beds x 5 @ 111,11"
"36753","1014","2222.00","Shipping Containers x 1 @ 2,222"
"21811","973","300.00","reis en telefoonkosten docenten, assistenten, arts en projectleiding"
"21812","973","700.00","Tableaus met Do's and Dont's op gebied van gezondheid en hygiëne"
"21813","973","1000.00","Honoraria 2 docenten, 4 assistenten en een arts gedurende 6 maanden"
"21814","973","2000.00","100 maal tenues en sieraden"
"21815","973","500.00","500 paar trommelstokken"
"21816","973","2500.00","50 trommels a 50,-, reeds gefinancierd via 1% Club-Sla je Slag in Burundi deel 1"
"37233","1423","75.00","Servicefee 1%Club"
"37234","1423","1500.00","3 woningen x 500 Euro"
"18695","673","50.00","bankoverschrijvingskosten ongeveer 50,- euro"
"18696","673","100.00","20 onderhoudssetjes à 5,- euro per stuk"
"18697","673","3000.00","20  fietsriksja's à 150,- euro per stuk"
"43022","1475","150.00","Zaden en gereedschappen"
"10897","596","13800.00","Outreach vehicle"
"42896","1587","1300.00","construction of 2 fish pond"
"777","227","2000.00","Het versterken van de capaciteit van de partnerorganisatie, het bouwen van een activeiten zaaltje bij het day care centre en het opnemen van een cd met de ex-straatkinderen."
"42897","1587","900.00","fencing of ponds"
"9289","217","3333.00","Mamosa heeft drie computers nodig om contact te houden met de buitenwereld en vooral voor haar studenten zodat ze via internet opzoekingswerk kunnen doen voor hun studies."
"42898","1587","1020.00","Training of farmer"
"22573","1006","888.00","last"
"19032","917","100.00","gids door de Saharawoestijn"
"19033","917","150.00","communicatiekosten"
"935","282","15.00","Schop 10 stuks, Rs. 100 per stuk = euro 15"
"936","282","30.00","Riek  10 stuks, Rs 200 per stuk = euro 30"
"592","53","350.00","Huur van een truck voor de eerste maand"
"593","53","7000.00","Aankoop 4x4 truck"
"594","53","700.00","Verzekering voor het eerste jaar"
"595","53","350.00","Onderhoud Truck"
"596","53","350.00","Registratie bedrijf"
"597","53","700.00","Promotietour Nicaragua"
"598","53","350.00","Print kosten flyers, posters etc"
"599","53","420.00","Accountant (eerste jaar)"
"600","53","1680.00","Huur van het kantoor (eerste jaar)à €140,- per maand"
"601","53","700.00","Op-pimpen van de Truck"
"602","53","350.00","Kantoorartikelen"
"603","53","210.00","Tv & DVD speler"
"604","53","280.00","Laptop"
"937","282","30.00","Kruiwagen, 2 stuks, Rs. 1000 per stuk = euro 30"
"938","282","30.00","Hark, 10 stuks, Rs. 200 per stuk = euro 30"
"939","282","30.00","Schoffel 10 stuks, Rs. 200 per stuk = euro 30"
"940","282","60.00","Snoeischaar 10, Rs 400 per stuk = euro 60"
"941","282","200.00","zaden en planten: potato, cluster beans, pigeon beans, spinach, okra, cabbage, indian eggplant, cucumber, tomato, carrot, radisch, pomegranate, tagetes, patula, umbeliferae etc.2"
"942","282","50.00","biologie leerboekjes en stencils met diverse lesmodules over biologische groenteteelt"
"37625","943","900.00","Drinking water
wash water installation"
"37626","943","1145.00","Multivitamins
weighing machines"
"37627","943","769.00","Tutor x 6 months
cousellor x 6 months"
"778","103","1546.41","De aanschaf van leidingen, aansluitmaterialen en materialen om de irrigatiekanalen mee te overbruggen, zodat Urgandji eveneens voorzien kan worden van leidingwater."
"44517","1401","80.00","Kast"
"1460","290","200.00","papier 100
stof 100"
"1461","290","150.00","posters en flyers 150"
"1462","290","250.00","vervoer docenten en transport decor en kostuums"
"1463","290","500.00","organisatie:  1 persoon
docenten: 4 docenten"
"44590","1675","1200.00","Een motor en benodigdheden"
"44738","1612","1000.00","10 Tailoring machines x 100"
"44739","1612","500.00","10 rolls of garments x 50"
"44740","1612","120.00","4 Design mirrors x 30"
"44741","1612","75.00","5 Design Portraits x 15"
"44742","1612","125.00","5 Ironing tables x 25"
"44743","1612","250.00","10 tailoring/sewing tool kit sets x 25"
"44744","1612","103.00","5% administration costs"
"943","282","34.00","Gieter: 5 stuks, Rs. 500 per stuk =
euro 34"
"1464","290","150.00","het maken van banners"
"1465","290","200.00","huren stereo installatie en zitplaatsen"
"42899","1587","300.00","buying of fingerling"
"1477","202","302.41","15 computertafels à € 15,12"
"1478","202","133.06","15 bijpassende stoelen à € 8,87"
"1479","202","169.35","15 typemachine tafels € 11,29"
"42900","1587","500.00","fish food"
"13233","568","660.00","30*22"
"37628","943","955.00","Toilet
Bath tub/area with tiles"
"11986","698","300.00","Biogas installation type 'biocube' / dutch design + transportation"
"11987","698","300.00","Biogas installatie type 'Mali' / aquisitie en assemblage"
"11988","698","100.00","Gereedschap voor onderhoud"
"22574","1006","44.00","some more"
"1480","202","72.58","15 bijpassende stoelen € 4,84"
"1481","202","138.69","6 bureaus voor de leraren € 23,12"
"1482","202","645.16","lesbanken en tafels (5) € 129,00"
"1483","202","161.29","25 klas stoelen € 6,45"
"7360","330","250.00","Aankoop en aanvoer van bouwafval"
"22575","1006","666.00","Test project"
"42901","1587","50.00","cast net"
"6216","438","1440.00","Waterputten - installatiekosten (arbeid) / 8*180

Per waterput zijn ongeveer 5 mensen 3 dagen bezig met het installeren van de waterput (met name boren van het gat). Dat betekent dat zij ongeveer 1.30 per dag verdienen."
"6217","438","80.00","Waterputten - transport materialen / 8*10"
"6218","438","70.00","Latrines - vervoerskosten"
"6219","438","600.00","Latrines - subsidie voor allerarmsten bij aankoop / 60*10"
"1345","286","4200.00","7 PC's @  € 600.00"
"1367","201","4785.45","De bouw van de eerste verdieping op het bestaande schoolgebouw in Ciudad Vieja en dan in het bijzonder voor de inrichting van de bibliotheek en de computerruimte."
"1078","278","436.00","Materialen decor en rekwisieten
- hout 
10 latten a 3 meter = 3850 Lempira
= 137.92 euro
4 triplex platen 3 bij 2 meter =
500 lempira = 17.91 euro
- metaal (voor lassen)
15 lange stukken = 4500 lempira
= 161.21 euro
- verf
5 x 2 liter = 1000 lem"
"1079","278","188.07","1 Kostuum (broek+hemd) per jongen x 15 
- stof
- garen
- elastiek
- afzetband
- knopen
15 x 350 lempira = 5250 lempira =
188,07 euro"
"1080","278","80.00","Arbeid naaister kostuums
berekend op 3 uur per kostuum
15 x 150 lempira =  2250 lempira = 
80,60 euro"
"1081","278","232.00","Drukkosten 
5.000 A6 flyers x 0,60 lempira =
3.000 lempira = 107,47 euro

500 A3 posters x 7 lempira = 3500 lempira = 125,38 euro"
"1082","278","107.00","Onvoorziene kosten 3.000 lempira = 107,47 euro"
"6220","438","50.00","Voolichting - posters etc."
"6221","438","250.00","Voorlichting - zang/dans evenement"
"6222","438","200.00","Gereedschap onderhoudscommissie
/ 8*25"
"42902","1587","50.00","fertilize and lime"
"30194","1199","880.00","10 X 88"
"1441","283","2105.00","handnaaimachine, 4 electrische naaimachines, 10 trapnaaimachines

Revisiekosten en nieuwe onderdelen zoals naalden voetjes, spoeltjes e.d. € 2105"
"1442","283","475.00","Kisten t.b.v. transport € 475,"
"1443","283","324.00","Administratie € 324"
"36120","1412","1000.00","Ontwerpen website"
"2791","116","4000.00","Computers en printers voor dove meisjes van 15+.
Schommel, wip-wap, glijbaan, klimhuis, basketball-nets voor dove kleuters (4-7 jaar)."
"6024","257","5000.00","Het geld gaat gebruikt worden voor het opleiden van de Tanzanianen die de trein moeten gaan vermarkten, runnen en rijden."
"7361","330","134.00","2 Cricket bats:  € 24,-
4 ballen: € 2,-
20 springtouwen: € 20,-
2 voetballen: € 13,-
2 Volleybalen: € 10,-
4 Badmintonraquets: € 20
2 doosjes shuttles: € 5,-
volleybalnet: € 20,
tennisnet: € 20,-"
"36754","1119","775.00","Roof (iron sheets)"
"1486","173","2100.00","Geld is nodig voor de bouw van een nieuw huis en het opknappen van twee huizen van ex straatkinderen."
"30046","889","750.00","Computers
1 laptop for in the field data capturing"
"30047","889","750.00","Computers
1 laptop for central data management"
"30048","889","750.00","Cell Phones
3 cell phones for Market staff"
"30049","889","750.00","Cell Phones
3 cell phones for agriculture field staff"
"30050","889","200.00","Unexpected costs (5%)"
"8580","258","1600.00","Aanschaf computers, naaimachines en lesmaterialen."
"36755","1119","40.00","paint for wooden windows"
"2547","355","1250.00","5 x 250"
"36756","1119","960.00","16 wooden doors 60 euro each"
"36757","1119","85.00","paint for walls inside the classrooms"
"36121","1412","3000.00","Maken website"
"36122","1412","500.00","Aanschaf telefoontoestellen en computer"
"36273","1439","12000.00","4 workshops for 50 people"
"36274","1439","7000.00","10 seminars for 300 people"
"36275","1439","20000.00","An exhibition space where entrepreneurs can display their businsess"
"36276","1439","5000.00","A network corner"
"1621","296","250.00","Onvoorzien"
"1622","296","1500.00","Ballen: 5 gemeenschappen x 5 ballen per training x 12 trainingen x Euro 5 per bal"
"1623","296","500.00","Hestjes: 5 gemeenschappen x 20 hestjes per gemeenschap x Euro 5 per hestje"
"1624","296","1500.00","60 trainingen x Euro 25 per training"
"1625","296","500.00","Lifeskills boekjes: 100 kinderen per gemeenschap x 5 gemeenschappen x Euro 1 per boekje"
"1626","296","750.00","Minigoals: 5 gemeenschappen x 1 goal set goals per gemeenschap x Euro 150 per set"
"5356","378","60.00","Schilderen van de leslokaal 
verf 60 euro"
"5357","378","1050.00","Vloer leggen 42 m2 x 25 euro Sikafloor -261"
"9796","620","25500.00","Bouwmaterialen"
"4245","345","200.00","Kinderstoelen"
"4246","345","240.00","Tafeltjes"
"9797","620","4000.00","Meubilair"
"9798","620","6000.00","Electronica lokaal"
"9799","620","5600.00","Confectie lokaal"
"9800","620","4500.00","Loodgieter lokaal"
"3664","189","1800.00","Beroepsopleiding ex-kinderarbeiders: (1 parttime leerkracht elektrotechniek 24 uur p/w à 150 euro per maand x 12 = 1.800"
"3665","189","233.00","Begeleiding door professionele hulpverlener bij vinden van een reguliere baan voor 50 kinderen x ½ dag per kind = 25 dagen (salaris ca. 9,30 euro per dag)= ca.233 euro"
"3666","189","400.00","Kleding, toiletartikelen etc. voor 1 jaar voor 50 kinderen . 50 x 8 euro = 400 euro"
"4247","345","20.00","Bureau voor de lerares (inclusief laden en sloten)"
"4248","345","10.00","Schoolbord"
"4249","345","30.00","Kast (inclusief slot)"
"4250","345","150.00","Schriften / boeken"
"4251","345","120.00","Schrijfgerei"
"4252","345","120.00","Lesmateriaal"
"4253","345","750.00","Vergoeding lerares (komende 5 maanden)"
"4261","388","3466.00","One full set of 75 items as per attached sheet X 3520"
"4262","388","154.00","Administration Cost (Transportation, book keeping, traveling, contingencies, reporting, audit and Administration cost 5%)"
"9515","191","4500.00","Renovatie van een van de gebouwen van deze school ."
"9516","191","3900.00","houten spanten, stenen en ceent"
"7200","509","900.00","Banners: 5 x 32.500 Fcfa = 162.500 Fcfa (5 x 50 € = 250 €)  

Posters: 50 x 3.250 Fcfa = 162.500 Fcfa (50 x 5 € = 250 €)  

T-Shirts: 100 x 2.600 Fcfa = 260.000 Fcfa (100 x 4 € = 400 €)"
"36277","1439","24000.00","Project managment team, financial manager, bookkeeper, elaborated closer to the event"
"36278","1439","5000.00","Posters, flyers, pens, notepads, website, goodie bags, invitations etc."
"7910","552","150.00","150eu"
"7911","552","50.00","50eu
Setup costs voor evenement[en]"
"36279","1439","9000.00","Office rental, laptop, telephone, internet, insurence"
"6998","85","4810.00","Het geld is nodig voor de aanschaf van 500 kippen, 50 geiten, de aanleg van maisakkers (6 acres in totaal) en het aanleggen van groentetuinen voor 50 arme gezinnen die weeskinderen opvangen."
"36280","1439","9000.00","Official launch, businsess breakfast, gala dinner"
"36281","1439","10000.00","Hire conference venue"
"30051","889","200.00","Service & administration costs (5%)"
"21589","951","608.00","One computer for FLIFLY to conduct the training on technical beekeeping and sustainable livelihoods"
"6223","438","1800.00","Voorlichting - salaris/onkosten/training/voorlichters"
"6224","438","600.00","Kosten partnerorganisatie
(o.a transportkosten, kosten audit,  utilities, montioring report etc.)"
"6225","438","400.00","personeelskosten (project coordinator/trainer)"
"21590","951","270.00","Buy wood for making 81 hive boxes"
"21591","951","709.00","Provide scholarship for training fee to 20 trainees and contribution of 7 trainees"
"21592","951","157.00","Books, pens and copy documents"
"21593","951","164.00","Snack and coffee break (27 persons x 1 $) for 9 days"
"3803","370","1734.00","hardware per school"
"21594","951","1313.00","Food for all 27 participants Breakfast, Lunch and diner x 8 $ for one person for 9 days"
"43850","1648","5000.00","for peanut grinding machine and raw materials"
"39653","1520","5000.00","Project Funding:

The first stage of the project will require an estimated €5, 000 in developing the web application required to power the website. Funding will be allocated to different sections required to bring the project to reality, they include:
"
"21595","951","324.00","Traveling cost 27 participants x 2 $ for 9 days"
"37629","943","1231.00","Space/Rent x 6 months"
"1682","304","500.00","Toernooi bijdrage team  
1 x € 500,-"
"1683","304","800.00","Training team
4 x € 200,-"
"1684","304","900.00","Vervoer team (45p)
45 x € 20,-"
"1685","304","1350.00","Accommodatie team (45p)
45 x € 30,-"
"1686","304","450.00","Maaltijden + drinken (45p)
45 x € 10,-"
"3631","369","450.00","10 x €45
10x varken"
"6902","450","300.00","Coaching classes"
"6903","450","300.00","Coaches for 120 clients"
"6904","450","300.00","Counselling for 30 clients"
"6905","450","80.00","Training Materials"
"3632","369","300.00","10X €30,-
10 x hokken"
"3633","369","50.00","10x €5,-
10x opleiding"
"3634","369","60.00","2x€30
2x beren0"
"3635","369","20.00","2x 10
2x aanbouw hok beer"
"4229","385","257.00","Transportation of materials from Livingstone to Mambova (4 x 64.29)"
"13642","759","5000.00","Preparatory activities, printing of promotional materials, advertising on TV, radio - 3 000 Euros 
training teachers in secondary schools in the Odessa city  and Odessa region to implement the optional teaching of disciplines - 30 000 Euros
Activities a"
